epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,29941.2,0.61111,2.54528,0.22973,0.376,1.06644,0.97487,0.97617,0.99134,0.90241,0.87813,0.84988,0.8694,0.73385,0.51864,1.72423,0.04453,0.25901,0.95749,0.003169,0.003169,0.003169
71,30180,0.61099,2.53678,0.22732,0.3745,1.06521,0.975,0.97604,0.99136,0.90263,0.87851,0.84962,0.86953,0.73423,0.51803,1.72129,0.04441,0.25857,0.957,0.00307,0.00307,0.00307
72,30420.5,0.60919,2.52737,0.22702,0.37454,1.06241,0.97419,0.97649,0.99134,0.90296,0.87938,0.85013,0.87004,0.73486,0.51753,1.71768,0.04432,0.2585,0.95656,0.002971,0.002971,0.002971
73,30659.5,0.60574,2.50846,0.2261,0.37218,1.0613,0.97432,0.97652,0.99137,0.90317,0.87904,0.85014,0.86995,0.7356,0.5169,1.7157,0.04418,0.25819,0.95605,0.002872,0.002872,0.002872
74,30896.5,0.60206,2.49909,0.22607,0.37072,1.06191,0.97436,0.97655,0.99135,0.90311,0.87925,0.8509,0.87015,0.73608,0.51643,1.71207,0.04402,0.25793,0.95568,0.002773,0.002773,0.002773
75,31131.6,0.59841,2.4675,0.22598,0.36879,1.05982,0.97462,0.97693,0.99137,0.90333,0.87912,0.85078,0.8701,0.73655,0.51591,1.70873,0.04384,0.2578,0.95523,0.002674,0.002674,0.002674
76,31369.5,0.60324,2.47144,0.22383,0.36724,1.0614,0.97404,0.97783,0.99139,0.90354,0.88016,0.85141,0.87187,0.73727,0.5154,1.70645,0.04363,0.25718,0.95468,0.002575,0.002575,0.002575
77,31613,0.59367,2.42767,0.22156,0.36354,1.05627,0.97459,0.97756,0.99138,0.90376,0.88083,0.85141,0.8732,0.73801,0.51484,1.70295,0.04346,0.25685,0.95428,0.002476,0.002476,0.002476
78,31854.5,0.59483,2.43953,0.22132,0.36407,1.05504,0.97522,0.97732,0.9914,0.90386,0.88062,0.85166,0.87287,0.73864,0.51435,1.70047,0.04329,0.25655,0.95396,0.002377,0.002377,0.002377
79,32095.1,0.59079,2.38421,0.22184,0.36038,1.05483,0.97497,0.97757,0.99139,0.90409,0.88156,0.85217,0.87488,0.73957,0.51383,1.69686,0.04313,0.2562,0.95362,0.002278,0.002278,0.002278
80,32335.7,0.59006,2.38893,0.22073,0.35857,1.05456,0.97509,0.9777,0.9914,0.9043,0.88157,0.8528,0.87563,0.74032,0.51333,1.69378,0.04304,0.25569,0.95337,0.002179,0.002179,0.002179
81,32574.7,0.58637,2.35951,0.21858,0.3587,1.05121,0.97508,0.97783,0.99146,0.90437,0.88205,0.8523,0.87513,0.74044,0.51273,1.69134,0.04292,0.25534,0.95297,0.00208,0.00208,0.00208
82,32813.2,0.58295,2.37324,0.21905,0.35738,1.0526,0.97472,0.97784,0.99148,0.90449,0.88224,0.85294,0.87594,0.74087,0.512,1.68792,0.04272,0.25508,0.95247,0.001981,0.001981,0.001981
83,33049.1,0.58186,2.33183,0.21789,0.35392,1.05108,0.97461,0.97847,0.99148,0.90463,0.88235,0.85281,0.87595,0.74128,0.51144,1.68456,0.04255,0.25452,0.95195,0.001882,0.001882,0.001882
84,33286.4,0.57982,2.34659,0.21722,0.35471,1.05195,0.97463,0.97936,0.9915,0.90476,0.88254,0.85311,0.87638,0.74179,0.51092,1.6814,0.0424,0.25398,0.95155,0.001783,0.001783,0.001783
85,33524.8,0.57905,2.31298,0.21554,0.35134,1.04676,0.97485,0.97948,0.99149,0.90518,0.88247,0.85319,0.87629,0.74198,0.5103,1.67882,0.04226,0.25379,0.95102,0.001684,0.001684,0.001684
86,33764.7,0.5745,2.28121,0.21417,0.35079,1.04585,0.97431,0.97936,0.9915,0.90529,0.88277,0.85332,0.87679,0.74254,0.50959,1.67595,0.04214,0.25347,0.9504,0.001585,0.001585,0.001585
87,34004.8,0.57403,2.28397,0.21572,0.3486,1.04801,0.97406,0.97936,0.99151,0.90563,0.88352,0.85383,0.87721,0.74293,0.50895,1.67417,0.04206,0.25317,0.9499,0.001486,0.001486,0.001486
88,34245.1,0.56834,2.24595,0.21344,0.34526,1.0441,0.97406,0.97948,0.99152,0.906,0.88336,0.85357,0.87687,0.74429,0.50818,1.67084,0.04196,0.25273,0.94923,0.001387,0.001387,0.001387
89,34485.4,0.56478,2.2165,0.212,0.34254,1.04254,0.97429,0.97961,0.99152,0.90632,0.88344,0.85472,0.87788,0.74539,0.50756,1.66798,0.04185,0.25218,0.94872,0.001288,0.001288,0.001288
90,34725.6,0.56869,2.22814,0.21098,0.34495,1.04289,0.97386,0.97974,0.99155,0.90668,0.88348,0.8551,0.87815,0.74545,0.50708,1.666,0.04176,0.25166,0.94838,0.001189,0.001189,0.001189
91,34956.4,0.46076,1.64471,0.0697,0.24742,0.98144,0.97404,0.98002,0.99156,0.90681,0.88467,0.85574,0.87863,0.7467,0.50628,1.66268,0.04142,0.25112,0.94779,0.00109,0.00109,0.00109
92,35186.4,0.45104,1.58581,0.06518,0.24105,0.97696,0.97417,0.98037,0.99158,0.90701,0.88501,0.85628,0.87903,0.74761,0.50547,1.658,0.04097,0.25077,0.94718,0.000991,0.000991,0.000991
93,35416.7,0.44385,1.56349,0.06384,0.23793,0.97216,0.97393,0.98025,0.9916,0.90774,0.88559,0.85651,0.87953,0.74847,0.5044,1.65406,0.0406,0.25017,0.94642,0.000892,0.000892,0.000892
94,35648.8,0.44106,1.53462,0.06393,0.23739,0.97327,0.9738,0.98046,0.99163,0.90831,0.88662,0.8574,0.88032,0.74944,0.50343,1.6487,0.04013,0.24979,0.9458,0.000793,0.000793,0.000793
95,35878.8,0.4357,1.49975,0.06142,0.23322,0.96351,0.97386,0.98076,0.99166,0.90848,0.88676,0.85753,0.88065,0.75053,0.50232,1.64414,0.03966,0.24915,0.94506,0.000694,0.000694,0.000694
96,36110.6,0.43087,1.48052,0.06186,0.22857,0.96243,0.97454,0.98045,0.99168,0.90867,0.88708,0.85829,0.88117,0.75157,0.50104,1.6397,0.03929,0.24859,0.94414,0.000595,0.000595,0.000595
97,36342.4,0.42716,1.47587,0.06223,0.22989,0.96185,0.97441,0.98063,0.99175,0.9093,0.88795,0.85867,0.88158,0.75221,0.49997,1.63488,0.03886,0.24792,0.94344,0.000496,0.000496,0.000496
98,36574.4,0.42249,1.45684,0.06009,0.2261,0.95501,0.97506,0.98037,0.99174,0.90971,0.88762,0.85893,0.88194,0.75351,0.49883,1.63078,0.0384,0.24733,0.94265,0.000397,0.000397,0.000397
99,36803.6,0.42033,1.43731,0.05973,0.223,0.95631,0.97528,0.98029,0.99175,0.9099,0.88742,0.85918,0.88202,0.75463,0.4977,1.62676,0.03796,0.24676,0.94186,0.000298,0.000298,0.000298
100,37031.4,0.4151,1.41817,0.06086,0.22198,0.95282,0.97528,0.98035,0.99177,0.91018,0.88795,0.85969,0.88255,0.75565,0.49676,1.62267,0.03756,0.24601,0.94117,0.000199,0.000199,0.000199
